instruction,output
"Write a cover letter for a Software Engineer role at Google. Candidate has 5 years experience in backend development, skilled in Node.js and AWS.","Dear Hiring Manager,

I am excited to apply for the Software Engineer position at Google. With 5 years of experience in backend development, I’ve built scalable APIs and cloud-native systems using Node.js and AWS. My passion for clean architecture and performance optimization aligns with Google’s commitment to innovation.

Sincerely,
[Your Name]"
Write a cover letter for a Marketing Manager role at Unilever. Candidate has 7 years experience in brand strategy and digital campaigns.,"Dear Unilever Team,

With over 7 years in brand strategy and digital marketing, I’m eager to bring my experience to Unilever’s global campaigns. I’ve led cross-functional teams to launch multi-channel initiatives that increased engagement by 40%. Your mission to create sustainable brands resonates deeply with my values.

Warm regards,
[Your Name]"
Write a cover letter for a UX Designer role at Adobe. Candidate has 4 years experience in Figma and user research.,"Dear Adobe Team,

I’m thrilled to apply for the UX Designer role. With 4 years of experience in user research and interface design using Figma, I’ve crafted intuitive experiences for SaaS platforms and mobile apps. Adobe’s focus on creativity and user empowerment inspires me.

Best,
[Your Name]"
Write a cover letter for a Data Analyst role at Deloitte. Candidate has 3 years experience in SQL and Tableau.,"Dear Hiring Manager,

As a Data Analyst with 3 years of experience in SQL and Tableau, I’ve transformed raw data into actionable insights for financial clients. Deloitte’s reputation for analytical rigor and strategic consulting makes this opportunity especially exciting.

Sincerely,
[Your Name]"
Write a cover letter for a Product Manager role at Amazon. Candidate has 6 years experience in e-commerce and agile development.,"Dear Amazon Recruitment Team,

With 6 years of experience in e-commerce and agile product development, I’m eager to join Amazon’s mission to innovate at scale. I’ve led product launches that drove 25% revenue growth and improved customer retention.

Regards,
[Your Name]"
Write a cover letter for a Graphic Designer role at Canva. Candidate has 4 years experience in Adobe Creative Suite and branding.,"Dear Canva Team,

I’m excited to apply for the Graphic Designer role. With 4 years of experience in Adobe Creative Suite and brand identity design, I’ve helped startups craft visual stories that resonate. Canva’s mission to democratize design aligns perfectly with my passion for accessible creativity.

Warmly,
[Your Name]"
Write a cover letter for a Cybersecurity Analyst role at IBM. Candidate has 5 years experience in threat detection and SIEM tools.,"Dear IBM Security Team,

As a Cybersecurity Analyst with 5 years of experience in threat detection and SIEM platforms, I’m eager to join IBM’s cutting-edge security initiatives. I’ve led incident response efforts and implemented proactive monitoring systems that reduced breach risk by 30%.

Sincerely,
[Your Name]"
Write a cover letter for a HR Specialist role at Infosys. Candidate has 6 years experience in employee engagement and talent acquisition.,"Dear Infosys HR Team,

With 6 years of experience in talent acquisition and employee engagement, I’m excited to contribute to Infosys’s people-first culture. I’ve designed onboarding programs that improved retention and built inclusive hiring pipelines.

Best regards,
[Your Name]"
Write a cover letter for a Business Analyst role at Accenture. Candidate has 4 years experience in stakeholder communication and process optimization.,"Dear Accenture Hiring Team,

As a Business Analyst with 4 years of experience in stakeholder engagement and process improvement, I’m drawn to Accenture’s commitment to digital transformation. I’ve led workshops that identified bottlenecks and implemented solutions that saved clients over $100K annually.

Sincerely,
[Your Name]"
Write a cover letter for a Frontend Developer role at Shopify. Candidate has 3 years experience in React and responsive design.,"Dear Shopify Team,

I’m excited to apply for the Frontend Developer role. With 3 years of experience in React and responsive design, I’ve built e-commerce interfaces that boosted conversion rates and improved mobile UX. Shopify’s mission to empower entrepreneurs inspires me.

Best,
[Your Name]"
Write a cover letter for a Financial Analyst role at JPMorgan Chase. Candidate has 5 years experience in Excel modeling and investment analysis.,"Dear JPMorgan Chase Hiring Team,

With 5 years of experience in financial modeling and investment analysis, I’m eager to contribute to your strategic initiatives. I’ve built valuation models and conducted market research that informed multimillion-dollar decisions.

Sincerely,
[Your Name]"
Write a cover letter for a Content Writer role at HubSpot. Candidate has 4 years experience in SEO and B2B content creation.,"Dear HubSpot Team,

I’m excited to apply for the Content Writer role. With 4 years of experience in SEO-driven B2B content, I’ve crafted blog posts and whitepapers that increased organic traffic and lead generation. HubSpot’s inbound philosophy aligns with my writing style.

Warm regards,
[Your Name]"
Write a cover letter for a QA Engineer role at Atlassian. Candidate has 3 years experience in automated testing and bug tracking.,"Dear Atlassian QA Team,

With 3 years of experience in automated testing and bug tracking, I’m passionate about delivering reliable software. I’ve built test suites that reduced regression issues by 40% and collaborated closely with dev teams to ensure quality.

Sincerely,
[Your Name]"
Write a cover letter for a Customer Support Specialist role at Zendesk. Candidate has 2 years experience in live chat and CRM tools.,"Dear Zendesk Team,

I’m excited to apply for the Customer Support Specialist role. With 2 years of experience in live chat and CRM platforms, I’ve resolved customer issues efficiently and maintained satisfaction scores above 95%. I thrive in fast-paced support environments.

Best,
[Your Name]"
Write a cover letter for a DevOps Engineer role at Microsoft. Candidate has 5 years experience in CI/CD pipelines and cloud infrastructure.,"Dear Microsoft DevOps Team,

With 5 years of experience in CI/CD automation and cloud infrastructure, I’m eager to contribute to Microsoft’s engineering excellence. I’ve implemented scalable deployment workflows and reduced downtime across distributed systems.

Sincerely,
[Your Name]"
Write a cover letter for a Social Media Manager role at Netflix. Candidate has 4 years experience in content strategy and analytics.,"Dear Netflix Marketing Team,

I’m thrilled to apply for the Social Media Manager role. With 4 years of experience in content strategy and analytics, I’ve grown brand engagement across platforms and launched viral campaigns. Netflix’s storytelling culture inspires my creativity.

Warmly,
[Your Name]"
Write a cover letter for a Operations Manager role at FedEx. Candidate has 6 years experience in logistics and team leadership.,"Dear FedEx Operations Team,

With 6 years of experience in logistics and team management, I’m excited to optimize delivery workflows and improve operational efficiency. I’ve led cross-functional teams and implemented systems that reduced delays by 20%.

Best regards,
[Your Name]"
Write a cover letter for a Mobile App Developer role at Spotify. Candidate has 3 years experience in Flutter and audio streaming apps.,"Dear Spotify Engineering Team,

I’m excited to apply for the Mobile App Developer role. With 3 years of experience in Flutter and audio streaming interfaces, I’ve built apps that prioritize performance and user experience. Spotify’s innovation in music tech inspires me.

Sincerely,
[Your Name]"
Write a cover letter for a Legal Assistant role at Latham & Watkins. Candidate has 2 years experience in case research and document preparation.,"Dear Latham & Watkins Legal Team,

With 2 years of experience in legal research and document drafting, I’m eager to support your attorneys in high-stakes cases. I’ve managed case files and prepared briefs that contributed to successful outcomes.

Best,
[Your Name]"
"Write a cover letter for a Junior Data Scientist role at Meta. Candidate has 2 years experience in Python, Pandas, and machine learning.","Dear Meta Hiring Team,

I’m excited to apply for the Junior Data Scientist role. With 2 years of experience in Python, Pandas, and ML algorithms, I’ve built predictive models that improved customer segmentation. Meta’s scale and data-driven culture inspire me.

Sincerely,
[Your Name]"
